State,Ty,Population,Qr,Qur
Abia,1782241.74,3727347,213869.01,1568372.73
Abuja,764431.91,3564126,91731.83,672700.08
Adamawa,1143054.51,4248436,137166.54,1005887.97
Akwa-Ibom,1446412.30,5482177,173569.48,1272842.84
Anambra,1492179.68,5527809,179061.56,1313118.12
Bauchi,1724280.16,6537314,206913.62,1517366.54
Bayelsa,5647247.79,2277961,677669.73,4969578.06
Benue,1538017.20,5741815,184562.06,1353455.14
Borno,1545959.60,5860183,185515.15,1360444.45
Cross-river,1040475.90,3866269,124857.11,915618.79
Delta,1505514.25,5663362,180661.71,1324852.54
Katsina,3658644.59,7831319,439037.35,3219607.24
Kebbi,1185394.71,4440050,142247.37,1043147.34
Kogi,1275650.87,4473490,153078.10,1122572.77
Kwara,775368.00,3192893,93044.16,682323.84
Lagos,3333110.27,12550589,399973.23,2933137.04
Nasarawa,677425.86,2523395,81292.10,596134.76
Niger,1465914.80,5556247,175909.78,1290005.02
Ogun,1381993.55,5217716,165839.23,1216154.32
Ondo,1251871.26,4671695,150224.55,1101646.71
Osun,1208419.25,4705589,145010.31,1063408.94
Oyo,1996254.36,7840864,239550.52,1756703.84
Plateau,1308794.80,4200442,157055.38,1151739.42
Rivers,1854861.17,7303924,222583.34,1632277.83
Sokoto,1339147.97,4998090,160697.76,1178450.21
Taraba,1665614.90,3066834,199873.79,1465741.11
Yobe,866681.25,3294137,104001.75,762679.50
Zamfara,1150464.22,4515427,138055.71,1012408.51
TOTAL,46025426.87,142879500,5523052.23,40502375.66
