State,Population 2020 projected,Area km2
Kano State,16253549,20131
Lagos State,15772884,3345
Katsina State,9300382,24192
Kaduna State,8324285,46053
Bauchi State,7540663,45893
Oyo State,7512855,28454
Anambra State,7299910,4844
Rivers State,7234973,11077
Jigawa State,6979080,23154
Niger State,6720617,76363
Benue State,6687706,34059
Borno State,6651590,70898
Ogun State,6445275,16762
Sokoto State,6163187,25973
Delta State,6107543,17698
Imo State,6067722,5530
Kebbi State,6001610,36800
Ondo State,5469707,15500
Akwa Ibom State,5780581,7081
Edo State,5527810,17802
Zamfara State,5517793,39762
Plateau State,5400974,30913
Enugu State,5396098,7161
Adamawa State,5236948,36917
Kogi State,5053734,29833
Abia State,4841943,5243
Federal Capital Territory,4802443,7315
Gombe State,4623462,20265
Yobe State,4350401,45502
Taraba State,4331885,54473
Kwara State,4259613,36825
Osun State,4237396,14875
Cross River State,4175020,20156
Ebonyi State,4007155,5670
Nasarawa State,3632239,27110
Ekiti State,3398177,6353
Bayelsa State,2394725,21110
