State,GDP (bil. US$)
Lagos State,100.01
Rivers State,19.72
Akwa Ibom State,19.25
Imo State,19.02
Delta State,15.33
Anambra State,12.73
Ondo State,12.63
Ogun State,12.46
Bayelsa State,11.47
Niger State,11.34
Kaduna State,10.67
Benue State,10.58
Kano State,10.40
Cross River State,10.08
Edo State,9.88
Kogi State,9.14
Oyo State,9.11
Abia State,8.74
Katsina State,8.22
Sokoto State,7.06
Adamawa State,6.59
Bauchi State,6.51
Ekiti State,5.82
Osun State,5.69
Ebonyi State,5.55
Jigawa State,5.35
Gombe State,5.20
Taraba State,5.05
Borno State,4.85
Nasarawa State,4.60
Kebbi State,4.46
Zamfara State,4.28
Plateau State,3.71
Enugu State,3.54
Kwara State,3.41
Yobe State,2.70
